# Exported by PeakFit GUI
# Source: E:/VS_CODE/PCM_Fano_GUI/NPs10nmEGPa.txt
# Range: 159.86975 to 2095.75376 (points=1650)
# Parameters:
# C = 1.714000e+05 +/- 0.000000e+00
# D = 1.000000e+05 +/- 0.000000e+00
# b = -19.165666 +/- 0.106200
# g0 = 25.611915 +/- 0.265667
# q = -4.335132 +/- 0.089116
# a = 0.543100 +/- 0.000000e+00
# L = 13.752900 +/- 0.000000e+00
# N = 0.010172 +/- 4.799225e-05
# y0 = 0.012844 +/- 2.130371e-03
# N_g = 0.068287 +/- 4.067750e-03
# x0 = 4.789492e+02 +/- 1.273262
# gg = 50.322616 +/- 4.343101
# x	experimental	fitted	residual
814.784	-0.0240901	0.0458458	-0.0699359
816.026	-0.022209	0.0459207	-0.0681297
817.269	-0.0267886	0.045995	-0.0727836
818.511	-0.0227591	0.0460687	-0.0688277
819.753	-0.0295853	0.0461418	-0.0757271
820.994	-0.0329374	0.0462143	-0.0791517
822.236	-0.0319263	0.0462863	-0.0782126
823.477	-0.0268556	0.0463576	-0.0732132
824.718	-0.0269092	0.0464285	-0.0733376
825.959	-0.0179756	0.0464988	-0.0644743
827.199	-0.0184097	0.0465685	-0.0649782
828.44	-0.0133465	0.0466377	-0.0599842
829.68	-0.0202918	0.0467064	-0.0669981
830.92	-0.0243406	0.0467745	-0.0711151
832.159	-0.0306442	0.0468421	-0.0774863
833.399	-0.0333059	0.0469092	-0.0802151
834.638	-0.0356561	0.0469758	-0.0826319
835.877	-0.0296208	0.0470419	-0.0766627
837.116	-0.0309034	0.0471075	-0.0780108
838.355	-0.0278121	0.0471726	-0.0749846
839.593	-0.026829	0.0472372	-0.0740662
840.831	-0.0277519	0.0473013	-0.0750532
842.069	-0.0326146	0.047365	-0.0799795
843.307	-0.0363458	0.0474281	-0.0837739
844.545	-0.0373003	0.0474909	-0.0847912
845.782	-0.0353399	0.0475531	-0.082893
847.019	-0.0326127	0.0476149	-0.0802276
848.256	-0.0273298	0.0476763	-0.075006
849.493	-0.0245598	0.0477372	-0.0722969
850.729	-0.0228013	0.0477976	-0.0705989
851.966	-0.0282728	0.0478576	-0.0761304
853.202	-0.0306163	0.0479172	-0.0785335
854.437	-0.0342961	0.0479764	-0.0822725
855.673	-0.0373076	0.0480351	-0.0853427
856.909	-0.0410245	0.0480934	-0.089118
858.144	-0.0368297	0.0481513	-0.084981
859.379	-0.0372135	0.0482088	-0.0854223
860.614	-0.03904	0.0482659	-0.087306
861.848	-0.0400573	0.0483226	-0.0883799
863.082	-0.0369668	0.0483789	-0.0853457
864.317	-0.0423523	0.0484348	-0.0907871
865.55	-0.0468032	0.0484903	-0.0952935
866.784	-0.0460525	0.0485454	-0.0945979
868.018	-0.0404434	0.0486002	-0.0890435
